full_group,type,cluster,mean_score,rest_mean_score,diff,group.x,method.x,type_sub.x,estimate,statistic,p.value,conf.low,conf.high,method.y,alternative,null.value,screen_method,bulk,type_pheno,group.y,ssGSEA type,type_sub.y,neg_log10_p,label,tumor_type
neg | DEGAS | Positive vs Rest,neg_marker_score,DEGAS_Positive,0.269326922336877,0.313115968855139,0.860150708127823,Positive vs Rest,DEGAS,neg,-0.0318469830065115,19699679,3.42639594090076e-35,-0.0369225854484144,-0.0268063054596665,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,34.4651624531006,***,HER2
neg | LP_SGL | Positive vs Rest,neg_marker_score,LP_SGL_Positive,0.335237990870744,0.309865599717126,1.08188192292652,Positive vs Rest,LP_SGL,neg,0.0171115357211974,22199537,1.52933925954511e-08,0.0112007516800068,0.0230712894858374,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,7.81549616258977,***,HER2
neg | scAB | Positive vs Rest,neg_marker_score,scAB_Positive,0.333753452922256,0.309266456680425,1.07917766609631,Positive vs Rest,scAB,neg,0.0204260437462457,35825282,1.43460470906233e-19,0.0160353235217596,0.0248290503149387,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,18.843267747935,***,HER2
neg | SCIPAC | Positive vs Rest,neg_marker_score,SCIPAC_Positive,0.424870598600289,0.306255342390094,1.38730836590308,Positive vs Rest,SCIPAC,neg,0.0939122431476235,27809907,1.55210585083036e-159,0.0876780438775989,0.100130951462994,Wilcoxon rank sum test with continuity correction,two.sided,0,SCIPAC,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,158.809078663964,***,HER2
neg | scPAS | Positive vs Rest,neg_marker_score,scPAS_Positive,0.407366662381124,0.31084116796427,1.31052995666246,Positive vs Rest,scPAS,neg,0.0694154557192097,596608,0.0019444823353403,0.0266363972885542,0.113582156014254,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,2.71119599784904,**,HER2
neg | scPP | Positive vs Rest,neg_marker_score,scPP_Positive,0.300634950868185,0.311571042663666,0.964900166260679,Positive vs Rest,scPP,neg,-0.00779927506478244,26853049,0.000537916400259999,-0.0122599493249842,-0.00334840270639129,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,3.26928521453236,***,HER2
pos | DEGAS | Positive vs Rest,pos_marker_score,DEGAS_Positive,0.325424265985566,0.361012485571706,0.901421083734037,Positive vs Rest,DEGAS,pos,-0.0268226317010349,20138464,6.94312823136499e-29,-0.0319071627016866,-0.0218345834654041,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,28.1584448137641,***,HER2
pos | LP_SGL | Positive vs Rest,pos_marker_score,LP_SGL_Positive,0.35159372580121,0.359565798145183,0.97782861333003,Positive vs Rest,LP_SGL,pos,-0.00974122581009879,19156035,0.000317238224418037,-0.015173147298297,-0.00442628643785408,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,3.49861448953328,***,HER2
pos | scAB | Positive vs Rest,pos_marker_score,scAB_Positive,0.39309053680793,0.356771229086429,1.10179999047149,Positive vs Rest,scAB,pos,0.0291127561934508,37286130,2.46140959770408e-36,0.0246265501924708,0.0336566247345687,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,35.6088161103033,***,HER2
pos | SCIPAC | Positive vs Rest,pos_marker_score,SCIPAC_Positive,0.401108797729952,0.357516111211746,1.12193208963494,Positive vs Rest,SCIPAC,pos,0.0339386217640466,22893011,1.02355687630747e-30,0.0282307031263951,0.0396310935732913,Wilcoxon rank sum test with continuity correction,two.sided,0,SCIPAC,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,29.9898880197526,***,HER2
pos | scPAS | Positive vs Rest,pos_marker_score,scPAS_Positive,0.293967763102128,0.359290014469107,0.818190740804471,Positive vs Rest,scPAS,pos,-0.0467708205749726,316213,0.00774071429749505,-0.0804262251079494,-0.0107087182598588,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,2.11121896164953,**,HER2
